publish_readiness,blocking_reasons,warnings,name,slug,source_name,source_url,price_adult,price_raw,duration,itinerary_count,inclusions_count,exclusions_count,image_count,thumbnail
needs_recrawl,suspicious_duration,,Ba Na Hills Tour From Da Nang Good Price #1 - Da Nang Local Tours,recrawl-002-dananglocaltours-ba-na-hills-tour-from-da-nang-good-price-1-da-nang-local-tours,recrawl_002_dananglocaltours,https://dananglocaltours.com/tour/ba-na-hills-tour-from-da-nang/,1190000.0,1.190.000 VND,2 hours,10,7,4,8,https://dananglocaltours.com/wp-content/uploads/2019/12/basket-boat-hoi-tour-100x100.jpg
needs_recrawl,inferred_core_field; suspicious_duration,,Bach Ma National Park Tour From Da Nang - Da Nang Local Tours,recrawl-003-dananglocaltours-bach-ma-national-park-tour-from-da-nang-da-nang-local-tours,recrawl_003_dananglocaltours,https://dananglocaltours.com/tour/bach-ma-national-park-tour/,750000.0,estimated_from_context:750000 VND,2 hours,6,6,2,8,https://dananglocaltours.com/wp-content/uploads/2020/02/son-tra-peninsula-100x100.jpg
needs_recrawl,suspicious_duration,,Basket Boat Hoi An Tour From Da Nang - Da Nang Local Tours,recrawl-004-dananglocaltours-basket-boat-hoi-an-tour-from-da-nang-da-nang-local-tours,recrawl_004_dananglocaltours,https://dananglocaltours.com/tour/basket-boat-hoi-an-tour/,1075000.0,43USD,2 hours,8,10,7,8,https://dananglocaltours.com/wp-content/uploads/2019/12/marble-mountain-hoi-an-tour-100x100.jpg
needs_recrawl,suspicious_duration,,Cham Island Snorkeling Tour From Da Nang Good Price #1,recrawl-005-dananglocaltours-cham-island-snorkeling-tour-from-da-nang-good-price-1,recrawl_005_dananglocaltours,https://dananglocaltours.com/tour/cham-island-snorkeling-tour/,1125000.0,45 USD,2 hours,7,10,5,8,https://dananglocaltours.com/wp-content/uploads/2019/12/hue-tour-from-da-nang-100x100.jpg
needs_recrawl,inferred_core_field,,Hoa Phu Thanh waterfall sliding daily tour - Da Nang Local Tours,recrawl-006-dananglocaltours-hoa-phu-thanh-waterfall-sliding-daily-tour-da-nang-local-tours,recrawl_006_dananglocaltours,https://dananglocaltours.com/tour/hoa-phu-thanh-waterfall-sliding-daily-tour/,1100000.0,estimated_from_context:1100000 VND,1 day,10,8,5,8,https://dananglocaltours.com/wp-content/uploads/2019/12/Bach-Ma-National-Park-Tour-100x100.jpg
needs_recrawl,suspicious_duration,missing_meeting_point,Marble Mountain Hoi An Tour Good Price #1 - Da Nang Local Tours,recrawl-007-dananglocaltours-basket-boat-marble-mountain-hoi-an-tour-good-price-1-da-nang-local-tours,recrawl_007_dananglocaltours_basket_boat,https://dananglocaltours.com/tour/marble-mountain-hoi-an-tour/,975000.0,39 USD,2 hours,10,6,8,8,https://dananglocaltours.com/wp-content/uploads/2019/12/nui-than-tai-spring-park-tour-100x100.jpg
ready_for_manual_publish,,,My Son Sanctuary Tour From Da Nang - Da Nang Local Tours,recrawl-008-dananglocaltours-basket-boat-my-son-sanctuary-tour-from-da-nang-da-nang-local-tours,recrawl_008_dananglocaltours_basket_boat,https://dananglocaltours.com/tour/my-son-sanctuary-tour/,1025000.0,41 USD,2 hours,5,7,4,8,https://dananglocaltours.com/wp-content/uploads/2019/12/ba-na-hills-tour-from-da-nang-100x100.jpg
needs_recrawl,incomplete_itinerary,,Nui Than Tai Hot Spring Park Tour From Da Nang Good Price #1,recrawl-009-dananglocaltours-basket-boat-nui-than-tai-hot-spring-park-tour-from-da-nang-good-price-1,recrawl_009_dananglocaltours_basket_boat,https://dananglocaltours.com/tour/nui-than-tai-hot-spring-park-tour/,1225000.0,49USD,1 day,0,10,6,8,https://dananglocaltours.com/wp-content/uploads/2019/12/hoa-phu-thanh-100x100.jpg
needs_recrawl,inferred_core_field; suspicious_duration,,Son Tra Peninsula - Marble Mountains - Hoian Daily Tour,recrawl-010-dananglocaltours-basket-boat-son-tra-peninsula-marble-mountains-hoian-daily-tour,recrawl_010_dananglocaltours_basket_boat,https://dananglocaltours.com/tour/son-tra-peninsula-marble-mountains-hoian-daily-tour/,1025000.0,estimated_from_context:1025000 VND,2 hours,10,6,2,8,https://dananglocaltours.com/wp-content/uploads/2019/12/Bach-Ma-National-Park-Tour-100x100.jpg
needs_recrawl,incomplete_itinerary; incomplete_inclusions; incomplete_exclusions,missing_meeting_point,French Village Ba Na Hills - Da Nang Tours,recrawl-011-danangtourscity-french-village-ba-na-hills-da-nang-tours,recrawl_011_danangtourscity,https://danangtourscity.com/french-village-ba-na-hills/,1090000.0,"1,090,000 VND",2 hours,0,0,0,7,https://danangtourscity.com/wp-content/uploads/2023/06/da-nang-tours.png
ready_for_manual_publish,,image_relevance_requires_manual_review,From Danang: My Son Holyland & Rice Paper Making Morning Tour,recrawl-013-venus-cham-island-from-danang-my-son-holyland-rice-paper-making-morning-tour-venustravel,recrawl_013_venus_cham_island,https://venusvietnamtravel.com/my-son-holyland-rice-paper-making-morning-tour/,775250.0,From $31.01,5 hours,7,6,3,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
ready_for_manual_publish,,image_relevance_requires_manual_review,Hoi An City Tour – Boat Ride – Release Flower Lantern,recrawl-014-venus-cham-island-hoi-an-city-tour-boat-ride-release-flower-lantern-venustravel,recrawl_014_venus_cham_island,https://venusvietnamtravel.com/hoi-an-boat-ride/,641250.0,From $25.65,3.5 hours,7,6,3,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
needs_recrawl,incomplete_inclusions; incomplete_exclusions,image_relevance_requires_manual_review,Marble Mountains – Monkey Mountain – Am Phu Cave Morning Tour,recrawl-015-venus-cham-island-marble-mountains-monkey-mountain-am-phu-cave-morning-tour-venustravel,recrawl_015_venus_cham_island,https://venusvietnamtravel.com/marble-mountains-monkey-mountain-am-phu-cave-morning-tour/,603000.0,From $24.12,3.5 hours,10,1,1,8,https://static.tacdn.com/img2/travelers_choice/widgets/tchotel_2025_L.png
